cep,Iguatz,RioMar,RioSul,Shopping Recife,Shops Jardins,Shopping Mais Proximo,Estimado Por Proximidade
21940001,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21940005,2166.44,1856.08,16.64,1852.68,364.13,RioSul,
21940006,2167.19,1856.55,15.57,1853.15,364.59,RioSul,
21940010,2166.21,1855.58,16.42,1852.18,365.17,RioSul,
21940170,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21940180,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21940190,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21940200,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21940300,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21940320,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21940375,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21940400,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21940440,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21940480,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21941010,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21941060,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21941095,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21941120,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21941230,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21941288,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
21941295,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
23450130,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
23793002,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
24130082,2171.31,1857.37,11.6,1853.97,373.12,RioSul,
25071181,4300.85,3972.91,5316.15,3974.6,5673.38,RioMar,
